corpus_key,corpus_display_name,corpus_tier,corpus_unii,corpus_inchikey,gtopdb_ligand_id,gtopdb_name,gtopdb_inchikey,gtopdb_chembl_id,gtopdb_pubchem_cid,matched_on_source_name,normalised_name,ambiguous_pages_for_name,confirmation,interactions_pending
K1:2VG74ZW2K5,KISSPEPTIN,3,2VG74ZW2K5,,1288,kisspeptin-54,,,,metastin,metastin,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:0JJ21K6L2I,Pozelimab,2,0JJ21K6L2I,,12900,pozelimab,,,,pozelimab,pozelimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:0JJ21K6L2I#bbfg,Pozelimab-Bbfg,2,0JJ21K6L2I,,12900,pozelimab,,,,pozelimab,pozelimab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:SA0O2AK3LA,Bexmarilimab,3,SA0O2AK3LA,,12907,bexmarilimab,,,,bexmarilimab,bexmarilimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:G9IB4Q8R5G,HPG-1860,3,G9IB4Q8R5G,,12910,HPG1860,JPEHHEUXHNQIIX-CQSZACIVSA-N,,169422740,HPG1860,hpg1860,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:G8JN4Y1NG0,ABBV-3373,3,G8JN4Y1NG0,,12917,ABBV-3373,,,,ABBV-3373,abbv 3373,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:0QI90BTJ37,Sotatercept,2,0QI90BTJ37,,12962,sotatercept,,,,sotatercept,sotatercept,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:0QI90BTJ37#csrk,Sotatercept-Csrk,1,0QI90BTJ37,,12962,sotatercept,,,,sotatercept,sotatercept,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:OHZ2MEL7FD,Tozorakimab,3,OHZ2MEL7FD,,12964,tozorakimab,,,,tozorakimab,tozorakimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,1
K1:6FYG1DS4NW,Cadonilimab,3,6FYG1DS4NW,,12966,cadonilimab,,,,cadonilimab,cadonilimab,1,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
K1:74X82ST8Q1,TARLATAMAB,2,74X82ST8Q1,,12969,tarlatamab,,,,tarlatamab,tarlatamab,2,none - corpus page and GtoPdb ligand share no UNII and no InChIKey; needs a human decision,2
