molecule_chembl_id,molecule_name,page_key,page_display_name,tier,confirmed_by_corpus_chembl_id
CHEMBL1887891,DEXFENFLURAMINE HYDROCHLORIDE,K1:953A94Y45B,Levofenfluramine,3,False
CHEMBL1887891,DEXFENFLURAMINE HYDROCHLORIDE,K1:E35R3G56OV,Dexfenfluramine,1,True
CHEMBL1889091,CHLORCYCLIZINE HYDROCHLORIDE,K1:5IY3F5T1FH,Chlorcyclizine,3,False
CHEMBL1889091,CHLORCYCLIZINE HYDROCHLORIDE,K1:M26C4IP44P,Chlorcyclizine,3,True
CHEMBL1889436,OUABAIN OCTAHYDRATE,K1:5ACL011P69,Ouabain,3,True
CHEMBL1901349,CALCIUM PANTOTHENATE,K1:19F5HK2737,Pantothenic Acid,2,False
CHEMBL1905872,DOCUSATE SODIUM,K1:M7P27195AG,Docusate,2,False
CHEMBL1908310,ERYTHROMYCIN ACISTRATE,K1:S3Q5941GCW,2'-O-ACETYLERYTHROMYCIN A,3,True
CHEMBL1908342,PICROTOXIN,K1:ZLT174DL7U,Picrotoxin,3,False
CHEMBL1908342,PICROTOXIN,K2:RYEFFICCPKWYML-XZJHJRNISA-N,PICROTOXIN,3,True
CHEMBL1908348,SPARTEINE SULFATE,K1:298897D62S,Sparteine,1,True
CHEMBL1908361,LEVOLEUCOVORIN CALCIUM,K1:990S25980Y,Levoleucovorin,2,True
CHEMBL1908361,LEVOLEUCOVORIN CALCIUM,K1:Q573I9DVLP,Leucovorin,2,False
CHEMBL1908362,GADOFOSVESET TRISODIUM,K1:5WBR90FN3H,Fosveset,2,False
CHEMBL1908362,GADOFOSVESET TRISODIUM,K1:E65RW73PHS,Gadofosveset,2,False
CHEMBL1908362,GADOFOSVESET TRISODIUM,K1:XM33Q67UVH,GADOFOSVESET TRISODIUM,2,True
CHEMBL1908843,GADOFOSVESET,K1:5WBR90FN3H,Fosveset,2,False
CHEMBL1908843,GADOFOSVESET,K1:E65RW73PHS,Gadofosveset,2,True
CHEMBL1908843,GADOFOSVESET,K1:XM33Q67UVH,GADOFOSVESET TRISODIUM,2,False
CHEMBL1909055,COBALTOUS CHLORIDE,K1:0B5M38T47H,Cobaltous Phosphate,2,False
CHEMBL1909055,COBALTOUS CHLORIDE,K1:26SK597UWV,Cobaltous Gluconate,2,False
CHEMBL1909055,COBALTOUS CHLORIDE,K1:2H2166872F,Cobaltous Nitrate Hexahydrate,2,False
CHEMBL1909055,COBALTOUS CHLORIDE,K1:3G0H8C9362,Cobalt,2,False
CHEMBL1909055,COBALTOUS CHLORIDE,K1:7H73A68FUV,Cobaltous Carbonate,2,False
CHEMBL1909055,COBALTOUS CHLORIDE,K1:7M7RX75BAL,Cobaltous Bromide,2,False
CHEMBL1909055,COBALTOUS CHLORIDE,K1:EVS87XF13W,Cobaltous Chloride,2,True
CHEMBL1909055,COBALTOUS CHLORIDE,K1:H7965X29HX,Cobaltous Sulfate,2,False
CHEMBL1909055,COBALTOUS CHLORIDE,K1:RTJ1W9DF34,Cobaltous Iodide,2,False
CHEMBL1909055,COBALTOUS CHLORIDE,K1:V9X9644V7Q,Cobaltous Oxide,2,False
CHEMBL1909055,COBALTOUS CHLORIDE,K4:cobaltous,Cobaltous,2,False
CHEMBL1909079,STANNOUS FLUORIDE,K1:1BQV3749L5,STANNOUS CHLORIDE,2,False
CHEMBL1909079,STANNOUS FLUORIDE,K1:3FTR44B32Q,Stannous Fluoride,2,True
CHEMBL1909079,STANNOUS FLUORIDE,K4:stannous,Stannous,2,False
CHEMBL1909298,PINAVERIUM BROMIDE,K2:DDHUTBKXLWCZCO-UHFFFAOYSA-N,Pinaverium bromide,2,True
CHEMBL1909303,COLESTIPOL,K1:K50N755924,Colestipol,1,True
CHEMBL1923502,ULIMORELIN HYDROCHLORIDE,K1:LGI67MCW2S,Ulimorelin,3,True
