source_record,normalised_name,unii,inchikey,candidate_pages,candidate_count
frdb-compound:9773:PENICILLIN V HYDRABAMINE,penicillinv,8T7T79P87L,IJXFBPWHGGIUAV-YQUITFMISA-N,K1:Z61I075U2W,1
frdb-compound:9825:QUININE ASCORBATE,quinine,KAU4V10S2I,CJHQUYQRCLIWSW-JPGAVJPLSA-N,K1:A7V27PHC7A,1
frdb-compound:10215:POZIOTINIB,poziotinib,X4Z7U6JL1C,OMYSOLOMWJFVNK-UHFFFAOYSA-N,K1:OEI6OOU6IK,1
frdb-compound:10249:TEZAMPANEL,tezampanel,6XN50U405Y,LNDYQNTTYXLTNH-RTBBDAMFSA-N,K1:GA36S2O9C2,1
frdb-compound:10292:ELOCALCITOL,elocalcitol,2WDS5F2V6Q,LRLWXBHFPGSUOX-GJQYOBCGSA-N,K2:XDBOQJCMEXOPMU-BAHYQGKPSA-N,1
frdb-compound:10335:QUISINOSTAT HYDROCHLORIDE,quisinostat,WUV1QHM1CS,TWNOICNTTFKOHQ-UHFFFAOYSA-N,K1:9BJ85K1J8S,1
frdb-compound:10400:INDENOLOL HYDROCHLORIDE,indenolol,2VLW0IV0ZQ,,K1:8GU15N96I8,1
frdb-compound:20066:8-HYDROXYQUINOLINE CITRATE,8hydroxyquinoline,K522O2O40B,GTOQWWQKBBZILU-UHFFFAOYSA-N,K1:5UTX5635HP,1
frdb-compound:20719:ADENOSINE PHOSPHATE DIPOTASSIUM,adenosine,225M14T7DD,OYERHOIFBRDTSU-IDIVVRGQSA-L,K1:415SHH325A|K1:61D2G4IYVH|K1:AB2MK88Y6D|K1:K72T3FS567|K1:RP8X0ZB061,5
frdb-compound:21589:AMSACRINE GLUCONATE,amsacrine,M4P91439UZ,XXNAQBNJPZNRSZ-IFWQJVLJSA-N,K1:00DPD30SOY,1
frdb-compound:23835:BUTYLPARABEN SODIUM,butylparaben,MAR76J77VS,OGBHACNFHJJTQT-UHFFFAOYSA-M,K1:3QPI1U3FV8,1
frdb-compound:24093:CALCIUM SALICYLATE,calcium,0841QCS0DK,VBIGULIJWJPALH-UHFFFAOYSA-L,K1:2URQ2N32W3|K1:5792C4VMFZ|K1:7UJQ5OPE7D|K1:86117BWO7P|K1:8EKI9QEE2H|K1:97Z1WI3NDX|K1:9E7R5L6H31|K1:9G34HU7RV0|K1:C7X2M0VVNH|K1:E934B3V59H,30
frdb-compound:24953:CHOLESTERYL SUCCINATE,cholesteryl,T3J4KS4201,WLNARFZDISHUGS-MIXBDBMTSA-N,K1:3DPK9KFN2M|K1:KU576NT9O9,2
frdb-compound:27432:DIETHYLAMINE SALICYLATE,diethylamine,5V7PT38BJU,JGMKRAUEFASZKH-UHFFFAOYSA-N,K1:B035PIS86W,1
frdb-compound:27980:DIMETHYLCURCUMIN,dimethylcurcumin,D60XLY608D,HMJSBVCDPKODEX-NXZHAISVSA-N,K2:ZMGUKFHHNQMKJI-CIOHCNBKSA-N,1
frdb-compound:28748:DOV-216303,dov216303,06S4712H0T,KAGBHVBIOJBGBD-NINOIYOQSA-N;KAGBHVBIOJBGBD-IBYXRORRSA-N,K2:BSMNRYCSBFHEMQ-UHFFFAOYSA-N,1
frdb-compound:28763:DOXYCYCLINE,doxycycline,N12000U13O,XQTWDDCIUJNLTR-CVHRZJFOSA-N,K1:334895S862|K1:F8VB5M810T,2
frdb-compound:29094:EQUILIN SULFATE,equilin,D507VOE6VN,YJBYRYVLFAUXBJ-HFTRVMKXSA-N,K1:08O86EX0J4,1
frdb-compound:29254:ETHACIZINE HYDROCHLORIDE,ethacizine,260059T81O,VHNXQKLWIQHSOY-UHFFFAOYSA-N,K1:FE5SPV1Z6G,1
frdb-compound:29496:ETHYL FUMARATE,ethyl,Y3W849NG2N,XLYMOEINVGRTEX-ONEGZZNKSA-N,K1:46U771ERWK|K1:555U6TZ2MV|K1:UFD2LZ005D|K2:QUPDWYMUPZLYJZ-UHFFFAOYSA-N,4
frdb-compound:29794:ETOMIDATE HYDROCHLORIDE,etomidate,ZUM3W5027S,NCDXBSVHIGDPOE-RFVHGSKJSA-N,K1:Z22628B598,1
frdb-compound:30402:FOSFESTROL SODIUM,fosfestrol,G9I1882VSD,XGZAXRQNRRXUMY-MJCKVQKWSA-J,K1:A0E0NMA80F,1
frdb-compound:31800:HYDROCORTISONE TEBUTATE,hydrocortisone,FXJ67LWZ4S,FNFPHNZQOKBKHN-KAJVQRHHSA-N,K1:05RMF7YPWN|K1:2340UP1L2G|K1:2Y87E22X71|K1:3X7931PO74|K1:4XDY25L70B|K1:68717P8FUZ|K1:IHV1VP592V|K1:O6550D6K3A|K1:WI4X0X7BPJ,9
frdb-compound:34661:METHAMPHETAMINE SACCHARATE,methamphetamine,K2J544L5HP,RACLVLZTMNZFLJ-SSNDBKPTSA-N,K1:44RAL3456C|K1:Y24T9BT2Q2,2
frdb-compound:35563:MONOPOTASSIUM GLUTAMATE ANHYDROUS,monopotassium,GQ82EXX32T,HQEROMHPIOLGCB-DFWYDOINSA-M,K1:276897E67U|K1:OC4598NZEQ,2
frdb-compound:39159:PENICILLIN G ALUMINUM,penicilling,1C87B1N51X,OUHOSEHKMRWIFD-HMGFDHFNSA-K,"COMBO:{K1:4Z8Y51M438,K1:Q42T66VG0C}|K1:Q42T66VG0C",2
frdb-compound:39162:PENICILLIN G HYDRABAMINE,penicilling,667Y1107D3,BIPGVSDEAYGJOG-YQUITFMISA-N,"COMBO:{K1:4Z8Y51M438,K1:Q42T66VG0C}|K1:Q42T66VG0C",2
frdb-compound:39388:PERINDOPRIL ARGININE,perindopril,TFT5IM1KGB,RYCSJJXKEWBUTI-YDYAIEMNSA-N,K1:Y5GMK36KGY,1
frdb-compound:39996:PIPERAZINE TARTRATE,piperazine,SM51XZC901,VNFVKWMKVDOSKT-LREBCSMRSA-N,"COMBO:{K1:1RTM4PAL0V,K1:9G34HU7RV0}|K1:1RTM4PAL0V",2
frdb-compound:41546:RX-5902,rx5902,,,K1:ZU8OM8V5WF,1
frdb-compound:41721:SB-1317,sb1317,,,K1:40D08182TT,1
frdb-compound:41929:SHR-1258,shr1258,,,K1:CJN36EQM0H,1
frdb-compound:42994:STRONTIUM LACTATE,strontium,DC1ZYY6LNZ,CCUZKVDGQHXAFK-UHFFFAOYSA-L,K1:1NG558X5VJ|K1:41YPU4MMCA|K1:64RA22280P|K1:7Q3KX2L47F|K1:B7CF3BD0TT|K1:BDG873AQZL|K1:EFY8GJS81Z|K1:EKE8PS9J6Z|K1:F6V5HOR0O5|K1:O09USB7Z44,12
frdb-compound:43003:STRONTIUM SALICYLATE,strontium,OGF9EV99TC,BJTJYQIAHXROJC-UHFFFAOYSA-L,K1:1NG558X5VJ|K1:41YPU4MMCA|K1:64RA22280P|K1:7Q3KX2L47F|K1:B7CF3BD0TT|K1:BDG873AQZL|K1:EFY8GJS81Z|K1:EKE8PS9J6Z|K1:F6V5HOR0O5|K1:O09USB7Z44,12
frdb-compound:43124:SULFATHIAZOLE SODIUM MONOHYDRATE,sulfathiazole,W6NDW4K12P,PEVALAQKCXISJZ-UHFFFAOYSA-N,K1:Y7FKS2XWQH,1
frdb-compound:43365:TENOFOVIR DISOPROXIL SUCCINATE,tenofovirdisoproxil,94882WB39E,CCGIINMVANPRGB-PFEQFJNWSA-N,K1:F4YU4LON7I|K1:W4HFE001U5,2
frdb-compound:44964:URAPIDIL HYDROCHLORIDE,urapidil,PVU92PZO12,KTMLZVUAXJERAT-UHFFFAOYSA-N,K1:A78GF17HJS,1
frdb-compound:45584:ZUCLOMIPHENE CITRATE,zuclomiphene,UY5X264QZV,PYTMYKVIJXPNBD-OQKDUQJOSA-N,K1:3JU1DU3652,1
frdb-compound:46021:CYPROHEPTADINE HYDROCHLORIDE ANHYDROUS,cyproheptadine,0S9323MCT0,ZPMVNZLARAEGHB-UHFFFAOYSA-N,K1:2YHB6175DO,1
frdb-compound:46260:ABC-294640,abc294640,RFN6U0F30B,BXGLNXNRKRUYTH-UHFFFAOYSA-N,K1:DRG21OQ517,1
frdb-compound:46630:EXP-3174,exp3174,GD76OCH73X,ZEUXAIYYDDCIRX-UHFFFAOYSA-N,K1:JMS50MPO89,1
frdb-compound:47321:FORODESINE HYDROCHLORIDE,forodesine,6SN82Y9U73,WEIAMZKHBCLFOG-QPAIBFMUSA-N,K1:426X066ELK,1
frdb-compound:47387:TEMOCAPRIL HCL,temocaprilhcl,8G820I95VP,XDDQNOKKZKHBIX-ASBZXGSUSA-N,K1:18IZ008EU6,1
frdb-compound:47398:DAPOXETINE HCL,dapoxetinehcl,U4OHT63MRI,IHWDIQRWYNMKFM-BDQAORGHSA-N,K1:GB2433A4M3,1
frdb-compound:47518:FESOTERODINE FUMARATE,fesoterodine,EOS72165S7,MWHXMIASLKXGBU-RNCYCKTQSA-N,K1:621G617227,1
frdb-compound:47561:TOLPERISONE HYDROCHLORIDE,tolperisone,8Z075K2TIG,ZBUVYROEHQQAKL-UHFFFAOYSA-N,K1:F5EOM0LD8E,1
frdb-compound:47734:SB 242235,sb242235,,,K2:PDTYLGXVBIWRIM-UHFFFAOYSA-N,1
frdb-compound:48567:ORY-1001,ory1001,XC0UT08SNJ,VHNNYAVEBXCOSG-QCEMKRCNSA-N,K1:54T74394F8,1
"frdb-compound:48979:WIN 55,212-2 MESYLATE",win552122,2J851TP7VJ,FSGCSTPOPBJYSX-VEIFNGETSA-N,K1:5H31GI9502,1
frdb-compound:49263:BAY-1436032,bay1436032,,,K1:8R3V6LDU0V,1
"frdb-compound:49406:MENTHYL SALICYLATE, (+/-)-",menthylsalicylate,43XOA705ZD,SJOXEWUZWQYCGL-DVOMOZLQSA-N;SJOXEWUZWQYCGL-ZENOOKHLSA-N,K4:menthyl,1
