schedule_code,item_number,primary_name,substance,reason
MDA-Sch1-Part1-ClassA,1BA,"1-(1,3-Benzodioxol-5-yl)-2-(dimethylamino)pentan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(dimethylamino)pentan-1-one (also known as N,N-dimethylpentylone, dipentylone or bk-DMBDP)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1B,"1-(1,3-Benzodioxol-5-yl)-2-(ethylamino)-1-butanone","1-(1,3-Benzodioxol-5-yl)-2-(ethylamino)-1-butanone (also known as Eutylone)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,1C,"1-(1,3-Benzodioxol-5-yl)-2-(ethylamino)pentan-1-one or N-Ethylpentylone or N-Ethylnorpentylone or Ephylone)","1-(1,3-Benzodioxol-5-yl)-2-(ethylamino)pentan-1-one (also known as 1-(2H-1,3-Benzodioxol-5-yl)-2-(ethylamino)pentan-1-one) or N‑Ethylpentylone or N-Ethylnorpentylone or Ephylone)",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,2,"1-(1,3-Benzodioxol-5-yl)-2-(ethylamino)propan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(ethylamino)propan-1-one (also known as ethylone or 3,4-Methylenedioxy-N-ethylcathinone or bk-MDEA or MDEC)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,2A,"1-(1,3-Benzodioxol-5-yl)-2-(isopropylamino)butan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(isopropylamino)butan-1-one (also known as N-isopropylbutylone or NiPB)",no FDA UNII record for any name in the entry
MDA-Sch1-Part1-ClassA,3,"1-(1,3-Benzodioxol-5-yl)-2-(methylamino)butan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(methylamino)butan-1-one (also known as butylone)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,4,"1-(1,3-Benzodioxol-5-yl)-2-(methylamino)pentan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(methylamino)pentan-1-one (also known as pentylone)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,6,"1-(1,3-Benzodioxol-5-yl)-2-(pyrrolidin-1-yl)butan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(pyrrolidin-1-yl)butan-1-one (also known as MDPBP)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,6A,"1-(1,3-Benzodioxol-5-yl)-2-(pyrrolidin-1-yl)hexan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(pyrrolidin-1-yl)hexan-1-one (also known as 3,4-Methylenedioxy-α-pyrrolidinohexanophenone or 3,4-MDPHP)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,7,"1-(1,3-Benzodioxol-5-yl)-2-(pyrrolidin-1-yl)pentan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(pyrrolidin-1-yl)pentan-1-one (also known as 3,4-methylenedioxypyrovalerone or MDPV)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,8,"1-(1,3-Benzodioxol-5-yl)-2-(pyrrolidin-1-yl)propan-1-one","1-(1,3-Benzodioxol-5-yl)-2-(pyrrolidin-1-yl)propan-1-one (also known as MDPPP)",resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,8A,2-(Benzylamino)-1-(4-methylphenyl)propan-1-one,2-(Benzylamino)-1-(4-methylphenyl)propan-1-one (also known as Benzedrone),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,8AAA,1-(4-Bromophenyl)-2-(ethylamino)propan-1-one,1-(4-Bromophenyl)-2-(ethylamino)propan-1-one (also known as 4‑Bromoethcathinone or 4-BEC),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,8AA,1-(4-Bromophenyl)-2-(methylamino)propan-1-one,1-(4-Bromophenyl)-2-(methylamino)propan-1-one (also known as 4‑Bromomethcathinone or Brephedrone or 4-BMC),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,8AAAA,2-(Butylamino)-1-phenylhexan-1-one,2-(Butylamino)-1-phenylhexan-1-one (also known as N-Butylhexedrone or α-Butylaminohexanophenone),resolved to a UNII that no corpus page holds
MDA-Sch1-Part1-ClassA,8AAB,1-(4-Chlorophenyl)-2-(dimethylamino)propan-1-one,"1-(4-Chlorophenyl)-2-(dimethylamino)propan-1-one (also known as 4‑Chloro-N,N-dimethylcathinone)",resolved to a UNII that no corpus page holds
