rhamnus-cathartica-bark	OFF_LABEL_OR_COMPOUNDED	Off-Label / Compounded	Nutraceutical / Botanical
ribes-nigrum-flower-bud	MARKETED_PRODUCT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
mimulus-ringens-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
ribavirin	APPROVED_MEDICINE	FDA Approved	Small Molecule
arginine-silicate-inositol	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
jobs-tears	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
taraxacum-sinicum-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
risedronate-sodium-hemi-pentahydrate	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	Small Molecule
buttermilk	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
new-zealand-green-lipped-mussel	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
artemisia-ludoviciana-pollen	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
new-jersey-tea	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
persimmon	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
salvia-rosmarinus-flower	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
mastic	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
oat	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
polycyclic-aromatic-hydrocarbons	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
rilpivirine	APPROVED_MEDICINE	FDA Approved	Small Molecule
ash	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
c13-14-isoparaffin	MARKETED_PRODUCT_INGREDIENT	FDA Approved	Small Molecule
calluna-vulgaris-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
astragalus-crassicarpus-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
oenanthe-crocata-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
latanoprost	APPROVED_MEDICINE	FDA Approved	Small Molecule
rimantadine	APPROVED_MEDICINE	FDA Approved	Small Molecule
cactus	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
astragalus-propinquus-root	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
jujube-seed	MARKETED_PRODUCT_INGREDIENT	FDA Approved	Small Molecule
melia	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
risankizumab	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	Monoclonal Antibody (mAb)
rosa-canina-fruit	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
larrea-tridentata-leaf	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
saururus-chinensis-flower	MARKETED_PRODUCT_INGREDIENT	FDA Approved	Nutraceutical / Botanical
carpinus-betulus-flower	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
green-onion	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
passionfruit	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
desogestrel	APPROVED_MEDICINE	FDA Approved	Small Molecule
ripretinib	APPROVED_MEDICINE	FDA Approved	Small Molecule
ropeginterferon-alfa-2b-njft	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
mercurous-iodide	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
romiplostim	APPROVED_BIOLOGIC	FDA Approved	Recombinant Protein / Biologic
ruehssia-cundurango-bark	MARKETED_PRODUCT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
pyridoxine-alpha-ketoglutarate	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
ming-dang-shen	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
roflumilast	APPROVED_MEDICINE	FDA Approved	Small Molecule
salsolinol	MARKETED_PRODUCT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
cajeput	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
ropeginterferon-alfa-2b	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	Recombinant Protein / Biologic
rubus-fruticosus-leaf	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
polygala-senega-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
rosa-canina-leaf	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
rubus-idaeus-leaf	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
polygonum-aviculare-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
rosa-canina-whole	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
rufinamide	APPROVED_MEDICINE	FDA Approved	Small Molecule
festuca-pratensis-pollen	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
salix-alba-flowering-top	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
rozanolixizumab	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	Monoclonal Antibody (mAb)
salix-alba-bark	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
sars-cov	MARKETED_PRODUCT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
oregano-leaf-oil	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
flavanones	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
pacific-yew	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
rauvolfia-vomitoria	BOTANICAL_OR_ORGANISM_PREPARATION	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
centella-asiatica	APPROVED_MEDICINE	FDA Approved	Nutraceutical / Botanical
ropinirole	APPROVED_MEDICINE	FDA Approved	Small Molecule
streptococcus-pneumoniae-type-8-capsular-polysaccharide-antigen	INVESTIGATIONAL_MEDICINE	Pre-clinical / Open Source	Recombinant Protein / Biologic
raspberry-ketone	SUPPLEMENT_INGREDIENT	Non-FDA / Dietary Supplement	Nutraceutical / Botanical
