key,tier,displayName,kind,unii,corpus_inchikey,pubchem_cid_for_unii,pubchem_inchikey_for_unii,skeletons_match
K1:7WY7YBI87E,1,Phenylbutyric Acid,unii-record-is-a-different-substance,NT6K61736T,OBKXEAXTFZPCHS-UHFFFAOYSA-N,5258,VPZRWNZGLKXFOE-UHFFFAOYSA-M,False
K1:7Y2M0915RZ,3,Prospidium,unii-record-is-a-different-substance,7G733H6RES,UVYDWIMQPVNRJN-UHFFFAOYSA-N,31937,QZJPEEOEZVHUAE-UHFFFAOYSA-L,False
K1:7ZAT6ES870,2,Tranylcypromine Sulfate,unii-record-is-a-different-substance,7ZAT6ES870,AELCINSCMGFISI-BDAKNGLRSA-N,11473982,BKPRVQDIOGQWTG-KAVFMPKWSA-N,False
K1:81485Y3A9A,1,Gatifloxacin Anhydrous,unii-record-is-a-different-substance,L4618BD7KJ,XUBOMFCQGDBHNK-UHFFFAOYSA-N,5282384,RMJMZKDEVNTXHE-UHFFFAOYSA-N,False
K1:81F061RQS4,3,Carbazochrome,unii-record-differs-no-exact-structure,81F061RQS4,XSXCZNVKFKNLPR-SDQBBNPISA-N,2557,SSCSSDNTQJGTJT-UHFFFAOYSA-N,False
K1:820484N8I3,2,Histamine,unii-record-is-a-different-substance,3POA0Q644U,NTYJJOPFIAHURM-UHFFFAOYSA-N,5818,PPZMYIBUHIPZOS-UHFFFAOYSA-N,False
K1:8237F3U7EH,1,Rucaparib,unii-record-is-a-different-substance,41AX9SJ8KO,HMABYWSNWIZPAG-UHFFFAOYSA-N,121490161,INBJJAFXHQQSRW-STOWLHSFSA-N,False
K1:824ZMS3BGL,3,CP-461 FREE BASE,unii-record-is-a-different-substance,68OJX9I7DT,NVCAMOJXQVJSOM-XKZIYDEJSA-N,6445781,KGXPDNOBLLACKL-BWLGBDCWSA-N,False
K1:82S8X8XX8H,1,Ruxolitinib,unii-record-is-a-different-substance,436LRU32H5,HFNKQEVNSGCOJV-OAHLLOKOSA-N,25127112,JFMWPOCYMYGEDM-XFULWGLBSA-N,False
K1:834YJF89WO,2,Belumosudil,unii-record-is-a-different-substance,6MX7XE1M0U,GKHIVNAUVKXIIY-UHFFFAOYSA-N,146681181,ILQJXEIRBCHLOM-UHFFFAOYSA-N,False
K1:83619PEU5T,1,Pramipexole,unii-record-is-a-different-substance,3D867NP06J,FASDKYOPVNHBLU-ZETCQYMHSA-N,166589,APVQOOKHDZVJEX-QTPLPEIMSA-N,False
K1:83D6475CAW,3,Totrombopag,unii-record-differs-no-exact-structure,83D6475CAW,IIBBJCNVTRCTDV-QYQHSDTDSA-N,135451068,YLSNQYHZCMCURB-UHFFFAOYSA-N,False
K1:84F6U3J2R6,2,Gadodiamide,unii-record-is-a-different-substance,84F6U3J2R6,RZESKRXOCXWCFX-UHFFFAOYSA-N,153921,HZHFFEYYPYZMNU-UHFFFAOYSA-K,False
K1:850TB2B172,3,Lubazodone,unii-record-is-a-different-substance,2KT2C544LR,HTODIQZHVCHVGM-JTQLQIEISA-N,157918,HWEMEKZYQCJVEZ-PPHPATTJSA-N,False
K1:8620H6K4QH,1,Acetophenazine,unii-record-is-a-different-substance,3P5HNU5JTC,WNTYBHLDCKXEOT-UHFFFAOYSA-N,5281082,NUKVZKPNSKJGBK-SPIKMXEPSA-N,False
K1:86Y5JME9KT,3,QN-302,unii-record-differs-no-exact-structure,86Y5JME9KT,JQXVCGMANURRRW-UHFFFAOYSA-N,155318440,TZQVPFRBHPQZNM-UHFFFAOYSA-N,False
K1:87WYG7H65O,3,H3B-6545 FREE BASE,unii-record-is-a-different-substance,62GM7VW6AO,JPFTZIJTXCHJNE-HMOQVRKWSA-N,124091099,KNSVJVMDHBDKJL-XVBKFJSKSA-N,False
K1:884KT10YB7,1,Ranitidine,unii-record-is-a-different-substance,7AJ51I17KG,VMXUWOKSQNHOCA-UHFFFAOYSA-N,62984,XAUTYMZTJWXZHZ-UHFFFAOYSA-K,False
K1:886U3H6UFF,2,Chloroquine,unii-record-is-a-different-substance,NT0J0815S5,WHTVZRBIWZFKQO-UHFFFAOYSA-N,83820,PCFGECQRSMVKCC-UHFFFAOYSA-N,False
K1:888Y08971B,1,Ceruletide,unii-record-is-a-different-substance,4E1MIA8QQL,YRALAIOMGQZKOW-HYAOXDFASA-N,16158172,FHDKSYKZXIFRKJ-CBCFNHQSSA-N,False
K1:88RM10ID0P,2,"1,2-DIAMINOCYCLOHEXANE, TRANS-(-)-",unii-record-is-a-different-substance,04ZR38536J,SSJXIUAHEKJCMH-PHDIDXHHSA-N,9887054,ZROHGHOFXNOHSO-BNTLRKBRSA-L,False
K1:895VG117HN,3,Celgosivir,unii-record-is-a-different-substance,70U2NQU0FP,HTJGLYIJVSDQAE-VWNXEWBOSA-N,3033824,KXNZMBFOWDNCRU-QVMZSJACSA-N,False
K1:89B59H32VN,2,Cefapirin,unii-record-is-a-different-substance,431LFF7I7J,UQLLWWBDSUHNEB-CZUORRHYSA-N,23675312,VGEOUKPOQQEQSX-OALZAMAHSA-M,False
K1:8G167061QZ,2,Ethambutol,unii-record-is-a-different-substance,QE4VW5FO07,AEUTYOVWOVBAKS-UWVGGRQHSA-N,14051,AUAHHJJRFHRVPV-BZDVOYDHSA-N,False
K1:8GB79LOJ07,2,Bictegravir,unii-record-is-a-different-substance,4L5MP1Y7W7,SOLUWJRYJLAZCX-LYOVBCGYSA-N,102593990,WJNFBIVCQMPPJC-FQYDJHLKSA-M,False
K1:8GTS82S83M,1,Diphenhydramine,unii-record-is-a-different-substance,4OD433S209,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,174697,SPCKHVPPRJWQRZ-UHFFFAOYSA-N,False
K1:8HBT2JRJ5T,3,Ledoxantrone,unii-record-differs-no-exact-structure,8HBT2JRJ5T,HPCHDLLMIWHKBW-UHFFFAOYSA-N,366673,IMMFHFBXRWAZGX-UHFFFAOYSA-N,False
K1:8HO6PVN24W,3,Carnosine,unii-record-is-a-different-substance,0WA1B15A1Z,CQOVPNPJLQNMDC-ZETCQYMHSA-N,6918055,XZWGNMZIFNOUGW-FJXQXJEOSA-L,False
K1:8I16YLE4US,3,Tecalcet,unii-record-is-a-different-substance,3HP28R98LC,ZVQUCWXZCKWZBP-CQSZACIVSA-N,158796,YJXUXANREVNZLH-PFEQFJNWSA-N,False
