page_a,page_b,rule,action,evidence
K1:AIK0XUF3AV,K2:FQVHOULQCKDUCY-PRPXPMGXSA-N,R3-SAME-SKELETON,form_of,"{""a"":""CARBOMYCIN A"",""b"":""Carbomycin"",""inchikey_a"":""FQVHOULQCKDUCY-OGHXVOSASA-N"",""inchikey_b"":""FQVHOULQCKDUCY-PRPXPMGXSA-N"",""note"":""Carbomycin is a diastereomer of CARBOMYCIN A."",""origin"":""suspected-structural:FQVHOULQCKDUCY"",""relation"":""stereoisomer_of"",""skeleton"":""FQVHOULQCKDUCY""}"
K1:O2HY4WY2W1,K1:V50K1D7P4Y,R3-SAME-SKELETON,form_of,"{""a"":""Uridine 5'-DIPHOSPHOGALACTOSE"",""b"":""URIDINE DIPHOSPHATE GLUCOSE"",""inchikey_a"":""HSCJRCZFDFQWRP-ABVWGUQPSA-N"",""inchikey_b"":""HSCJRCZFDFQWRP-JZMIEXBBSA-N"",""note"":""Uridine 5'-DIPHOSPHOGALACTOSE is a diastereomer of URIDINE DIPHOSPHATE GLUCOSE."",""origin"":""suspected-structural:HSCJRCZFDFQWRP"",""relation"":""stereoisomer_of"",""skeleton"":""HSCJRCZFDFQWRP""}"
K1:V50K1D7P4Y,K2:HSCJRCZFDFQWRP-NYYOCOOHSA-N,R3-SAME-SKELETON,form_of,"{""a"":""URIDINE DIPHOSPHATE GLUCOSE"",""b"":""CHEMBL227711"",""inchikey_a"":""HSCJRCZFDFQWRP-JZMIEXBBSA-N"",""inchikey_b"":""HSCJRCZFDFQWRP-NYYOCOOHSA-N"",""note"":""CHEMBL227711 is a diastereomer of URIDINE DIPHOSPHATE GLUCOSE."",""origin"":""suspected-structural:HSCJRCZFDFQWRP"",""relation"":""stereoisomer_of"",""skeleton"":""HSCJRCZFDFQWRP""}"
K1:F91H02EBWT,K2:BPZSYCZIITTYBL-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Arformoterol"",""b"":""Formoterol"",""inchikey_a"":""BPZSYCZIITTYBL-YJYMSZOUSA-N"",""inchikey_b"":""BPZSYCZIITTYBL-UHFFFAOYSA-N"",""note"":""Arformoterol carries defined stereochemistry; Formoterol is recorded without it."",""origin"":""suspected-structural:BPZSYCZIITTYBL"",""relation"":""stereoisomer_of"",""skeleton"":""BPZSYCZIITTYBL""}"
K1:FLQ7571NPM,K2:OTVAEFIXJLOWRX-UHFFFAOYSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Thiamphenicol"",""b"":""Racefenicol"",""inchikey_a"":""OTVAEFIXJLOWRX-NXEZZACHSA-N"",""inchikey_b"":""OTVAEFIXJLOWRX-UHFFFAOYSA-N"",""note"":""Thiamphenicol carries defined stereochemistry; Racefenicol is recorded without it."",""origin"":""suspected-structural:OTVAEFIXJLOWRX"",""relation"":""stereoisomer_of"",""skeleton"":""OTVAEFIXJLOWRX""}"
K1:94055UOQ3Y,K2:QRYFGTULTGLGHU-AGKFAHNLSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Iturelix"",""b"":""Antide"",""inchikey_a"":""QRYFGTULTGLGHU-NBERXCRTSA-N"",""inchikey_b"":""QRYFGTULTGLGHU-AGKFAHNLSA-N"",""note"":""Antide is a diastereomer of Iturelix."",""origin"":""suspected-structural:QRYFGTULTGLGHU"",""relation"":""stereoisomer_of"",""skeleton"":""QRYFGTULTGLGHU""}"
K1:5W7SIA7YZW,K2:WWYNJERNGUHSAO-CULCCENASA-N,R3-SAME-SKELETON,form_of,"{""a"":""Levonorgestrel"",""b"":""Norgestrel"",""inchikey_a"":""WWYNJERNGUHSAO-XUDSTZEESA-N"",""inchikey_b"":""WWYNJERNGUHSAO-CULCCENASA-N"",""note"":""Levonorgestrel and Norgestrel share the connectivity skeleton WWYNJERNGUHSAO and differ in the recorded stereochemistry."",""origin"":""suspected-structural:WWYNJERNGUHSAO"",""relation"":""stereoisomer_of"",""skeleton"":""WWYNJERNGUHSAO""}"
K1:EQK9Q303C5,K2:SBUJHOSQTJFQJX-KSACQAOKSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Kanamycin A"",""b"":""KANAMYCIN A"",""inchikey_a"":""SBUJHOSQTJFQJX-NOAMYHISSA-N"",""inchikey_b"":""SBUJHOSQTJFQJX-KSACQAOKSA-N"",""note"":""KANAMYCIN A (structure SBUJHOSQTJFQJX-KSACQAOKSA-N) is a diastereomer of Kanamycin A (UNII EQK9Q303C5)."",""origin"":""suspected-structural:SBUJHOSQTJFQJX"",""relation"":""stereoisomer_of"",""skeleton"":""SBUJHOSQTJFQJX""}"
K1:7UM3SQL968,K2:OISLSHLAXHALQZ-HEOQURLSSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Bemnifosbuvir"",""b"":""Arbemnifosbuvir"",""inchikey_a"":""OISLSHLAXHALQZ-LZEIJKKFSA-N"",""inchikey_b"":""OISLSHLAXHALQZ-HEOQURLSSA-N"",""note"":""Arbemnifosbuvir and Bemnifosbuvir share the connectivity skeleton OISLSHLAXHALQZ and differ in the recorded stereochemistry."",""origin"":""suspected-structural:OISLSHLAXHALQZ"",""relation"":""stereoisomer_of"",""skeleton"":""OISLSHLAXHALQZ""}"
K1:9QHX048FRV,K2:HWGQMRYQVZSGDQ-HOTGVXAUSA-N,R3-SAME-SKELETON,form_of,"{""a"":""Talazoparib"",""b"":""CHEMBL3764816"",""inchikey_a"":""HWGQMRYQVZSGDQ-HZPDHXFCSA-N"",""inchikey_b"":""HWGQMRYQVZSGDQ-HOTGVXAUSA-N"",""note"":""CHEMBL3764816 is the enantiomer of Talazoparib."",""origin"":""suspected-structural:HWGQMRYQVZSGDQ"",""relation"":""stereoisomer_of"",""skeleton"":""HWGQMRYQVZSGDQ""}"
