key,tier,displayName,has_unii,has_inchikey,is_combination
K1:0A04Z76C13,3,Bos Taurus Intervertebral Disc,True,False,False
K1:0A0Z1IJN86,3,Bivatuzumab,True,False,False
K1:0A5MM307FC,2,Carbomer,True,False,False
K1:0A6JH35GMQ,1,PRABOTULINUMTOXIN A,True,False,False
K1:0A6JH35GMQ#xvfs,1,Prabotulinumtoxina-Xvfs,True,False,False
K1:0AHT0IC02G,3,Flotetuzumab,True,False,False
K1:0B24UR1O1S,2,Fraxinus Americana Bark,True,False,False
K1:0B27814T7X,2,Cinnamomum Camphora Whole,True,False,False
K1:0B4FDL9I6P,1,"Thyroid, Unspecified",True,False,False
K1:0BE71HM000,2,Desoxyribonuclease,True,False,False
K1:0BKP293XE9,3,Salsola Kali Whole,True,False,False
K1:0C28EK6VVG,3,Narcissus Poeticus Whole,True,False,False
K1:0C5WAA83X5,3,Amaranthus Cruentus Seed,True,False,False
K1:0CF4C9C787,3,FESOMERSEN,True,False,False
K1:0CG6O25ZC4,3,Pecocycline,True,True,False
K1:0CRN540O4R,3,Telazorlimab,True,False,False
K1:0D145J8EME,2,Aloe Ferox Leaf,True,False,False
K1:0D65UF0V4W,3,Wahoo,True,False,False
K1:0D8BWL78LD,3,Bezetabart debotansine,True,False,False
K1:0DAF87OMMD,3,Eleutherococcus Senticosus Root Oil,True,False,False
K1:0DE9724IHC,2,Protamine sulfate,True,False,False
K1:0DYR6BJ4AG,3,Mulnitorsen,True,False,False
K1:0E250104F5,3,Kalimeris Indica Whole,True,False,False
K1:0E49E3V9U6,3,Citrullus Colocynthis Fruit,True,False,False
K1:0E5AT8T16U,3,Oregano,True,False,False
K1:0E7SS2999Y,2,Lachnanthes Caroliniana,True,False,False
K1:0E986JU40I,3,Fulranumab,True,False,False
K1:0ENU8YY1SS,3,Polzastobart,True,False,False
K1:0FEX06A7KX,3,Elaeis Oleifera Kernel Oil,True,False,False
K1:0FF8N9C1NY,3,Chard,True,False,False
K1:0FIE1UZN3V,3,Alnus Rhombifolia Bark,True,False,False
K1:0FMD6WV47M,2,Solanum Nigrum Whole,True,False,False
K1:0G750PYD4W,3,Sus Scrofa Adrenal Cortex,True,False,False
K1:0G82TT8ZFY,3,Juniperus Scopulorum Pollen,True,False,False
K1:0GRZ0F5XJ6,2,Eplontersen,True,False,False
K1:0H1V4V5V9L,3,Juniperus Californica Pollen,True,False,False
K1:0H2XLR2IKW,3,Lemzoparlimab,True,False,False
K1:0HK2GZK66E,2,Croton Tiglium Seed,True,False,False
K1:0HNC1J1YED,3,Citrus Limon Fruit Oil,True,False,False
K1:0HT093MD6R,3,AZX-100,True,False,False
K1:0I353W9H7M,3,Paeonia X Suffruticosa Seed,True,False,False
K1:0I77C68AWS,3,Eastern Oyster,True,False,False
K1:0IEO0F56LV,2,Inotersen,True,False,False
K1:0IN1TZ844E,3,Zelenectide pevedotin,True,False,False
K1:0IQW001KPE,3,Hyssopus Officinalis Whole,True,False,False
K1:0IVD6ASY0W,3,Lorvotuzumab mertansine,True,False,False
K1:0J0X819B3C,3,Mucor Circinelloides F. Lusitanicus,True,False,False
K1:0J28O82L6I,3,Lonicera Canadensis Whole,True,False,False
K1:0J4C69C6FB,3,Monteplase,True,False,False
K1:0J8NV9V5Q8,2,Borrelia Burgdorferi,True,False,False
K1:0JJ21K6L2I,2,Pozelimab,True,False,False
K1:0JJ21K6L2I#bbfg,2,Pozelimab-Bbfg,True,False,False
