page_a,page_b,width,jaccard,indexable_a,indexable_b
eclipta,massularia-acuminata,390,0.9647,false,false
eclipta,oxytropis-falcate,390,0.9647,false,false
eclipta,pacific-yew,390,0.9647,false,false
eclipta,palm-wax,390,0.9647,false,false
eclipta,pseudomonas-calcis,390,0.9647,false,false
eclipta,rehmannia-elata,390,0.9647,false,false
eclipta,short-buchu,390,0.9647,false,false
eclipta,sichuan-lovage,390,0.9647,false,false
eclipta,taxillus-chinensis,390,0.9647,false,false
eclipta,thymus-satureioides,390,0.9647,false,false
eclipta,tiger-nut,390,0.9647,false,false
eclipta,valine-pyroglutamate,390,0.9647,false,false
eclipta,white-willow,390,0.9647,false,false
eclipta,wild-bergamot,390,0.9647,false,false
exopeptidase,green-onion,390,0.9647,false,false
exopeptidase,jujube-seeds,390,0.9647,false,false
exopeptidase,kuding-tea,390,0.9647,false,false
exopeptidase,lactococcus-casei,390,0.9647,false,false
exopeptidase,lactococcus-rhamnosus,390,0.9647,false,false
exopeptidase,massularia-acuminata,390,0.9647,false,false
exopeptidase,oxytropis-falcate,390,0.9647,false,false
exopeptidase,pacific-yew,390,0.9647,false,false
exopeptidase,palm-wax,390,0.9647,false,false
exopeptidase,pseudomonas-calcis,390,0.9647,false,false
exopeptidase,rehmannia-elata,390,0.9647,false,false
exopeptidase,short-buchu,390,0.9647,false,false
exopeptidase,sichuan-lovage,390,0.9647,false,false
exopeptidase,taxillus-chinensis,390,0.9647,false,false
exopeptidase,thymus-satureioides,390,0.9647,false,false
exopeptidase,tiger-nut,390,0.9647,false,false
exopeptidase,valine-pyroglutamate,390,0.9647,false,false
exopeptidase,white-willow,390,0.9647,false,false
exopeptidase,wild-bergamot,390,0.9647,false,false
fringetree,green-onion,390,0.9647,false,false
fringetree,jujube-seeds,390,0.9647,false,false
fringetree,kuding-tea,390,0.9647,false,false
fringetree,lactococcus-casei,390,0.9647,false,false
fringetree,lactococcus-rhamnosus,390,0.9647,false,false
fringetree,massularia-acuminata,390,0.9647,false,false
fringetree,oxytropis-falcate,390,0.9647,false,false
fringetree,pacific-yew,390,0.9647,false,false
fringetree,palm-wax,390,0.9647,false,false
fringetree,pseudomonas-calcis,390,0.9647,false,false
fringetree,rehmannia-elata,390,0.9647,false,false
fringetree,short-buchu,390,0.9647,false,false
fringetree,sichuan-lovage,390,0.9647,false,false
fringetree,taxillus-chinensis,390,0.9647,false,false
fringetree,thymus-satureioides,390,0.9647,false,false
fringetree,tiger-nut,390,0.9647,false,false
fringetree,valine-pyroglutamate,390,0.9647,false,false
fringetree,white-willow,390,0.9647,false,false
fringetree,wild-bergamot,390,0.9647,false,false
gorse,green-onion,390,0.9647,false,false
gorse,jujube-seeds,390,0.9647,false,false
gorse,kuding-tea,390,0.9647,false,false
gorse,lactococcus-casei,390,0.9647,false,false
gorse,lactococcus-rhamnosus,390,0.9647,false,false
gorse,massularia-acuminata,390,0.9647,false,false
gorse,oxytropis-falcate,390,0.9647,false,false
gorse,pacific-yew,390,0.9647,false,false
gorse,palm-wax,390,0.9647,false,false
gorse,pseudomonas-calcis,390,0.9647,false,false
gorse,rehmannia-elata,390,0.9647,false,false
gorse,short-buchu,390,0.9647,false,false
gorse,sichuan-lovage,390,0.9647,false,false
gorse,taxillus-chinensis,390,0.9647,false,false
gorse,thymus-satureioides,390,0.9647,false,false
gorse,tiger-nut,390,0.9647,false,false
gorse,valine-pyroglutamate,390,0.9647,false,false
gorse,white-willow,390,0.9647,false,false
gorse,wild-bergamot,390,0.9647,false,false
grain,green-onion,390,0.9647,false,false
grain,jujube-seeds,390,0.9647,false,false
grain,kuding-tea,390,0.9647,false,false
grain,lactococcus-casei,390,0.9647,false,false
grain,lactococcus-rhamnosus,390,0.9647,false,false
grain,massularia-acuminata,390,0.9647,false,false
grain,oxytropis-falcate,390,0.9647,false,false
grain,pacific-yew,390,0.9647,false,false
grain,palm-wax,390,0.9647,false,false
grain,pseudomonas-calcis,390,0.9647,false,false
grain,rehmannia-elata,390,0.9647,false,false
grain,short-buchu,390,0.9647,false,false
grain,sichuan-lovage,390,0.9647,false,false
grain,taxillus-chinensis,390,0.9647,false,false
grain,thymus-satureioides,390,0.9647,false,false
grain,tiger-nut,390,0.9647,false,false
grain,valine-pyroglutamate,390,0.9647,false,false
grain,white-willow,390,0.9647,false,false
grain,wild-bergamot,390,0.9647,false,false
green-onion,hemidesmus,390,0.9647,false,false
green-onion,jatoba,390,0.9647,false,false
green-onion,millettia,390,0.9647,false,false
green-onion,peptidase,390,0.9647,false,false
green-onion,pokeweed,390,0.9647,false,false
green-onion,pseudostellaria,390,0.9647,false,false
green-onion,rupturewort,390,0.9647,false,false
green-onion,siler,390,0.9647,false,false
green-onion,testes,390,0.9647,false,false
hemidesmus,jujube-seeds,390,0.9647,false,false
