key,tier,displayName,normalised_name,unii_held_by_corpus,pubchem_cid,pubchem_inchikey,cids_returned_for_name,corpus_cid,corpus_cid_agrees,confirmation
K1:LK5KSB5A2E,3,Zelenectide,zelenectide,LK5KSB5A2E,168510690,CKPJISPOUWYYAX-HPHWZULQSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:LQA7B6G8JG,3,VEPOLOXAMER,vepoloxamer,LQA7B6G8JG,10154203,OQNWUUGFAWNUME-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:MB76Z4IBZ5,3,Mazdutide,mazdutide,MB76Z4IBZ5,167312357,XRBYWQZGSZWYEJ-HMQIFOERSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:N4484W64JW,3,Lumbrokinase,lumbrokinase,N4484W64JW,168009866,MLVMQHOUVDMPCQ-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:N9MH3WI51M,3,BRM-421,brm 421,N9MH3WI51M,177669090,WKXNKQZYGSNBDJ-VGQQASIRSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:NLE5KIG74K,3,Glyceryl Monooleate Citrate,glyceryl monooleate,NLE5KIG74K,5283468,RZRNAYUHWVFMIP-KTKRTIGZSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:NQ14646378,2,Ichthammol,ichthammol,NQ14646378,3657,VSNHCAURESNICA-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:O28XHZ9UQ4,3,ZEN-3694,zen 3694,O28XHZ9UQ4,121375819,VUFGOHIETLJZRG-UHFFFAOYSA-N,1,121375819,True,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:PP0SHH6V16,1,Alirocumab,alirocumab,PP0SHH6V16,88214187,CATWCRUATKKAAQ-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:Q4EWM09M3O,2,Boldo,boldo,Q4EWM09M3O,54680085,OWNRRUFOJXFKCU-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:Q74T35078H,2,Vanilla,vanilla,Q74T35078H,1183,MWOOGOJBHIARFG-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:QA0A21Y20D,3,ADRENOMEDULLIN,adrenomedullin,QA0A21Y20D,56841671,ULCUCJFASIJEOE-NPECTJMMSA-N,2,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
K1:S40C40DA21,3,Polifeprosan,polifeprosan,S40C40DA21,68609,JVYNJRBSXBYXQB-UHFFFAOYSA-N,1,,,"none: the page holds no InChIKey, and no UNII that PubChem recognises"
