key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with
K1:93X55PE38X,FLUORESCEIN SODIUM,FLUORESCEIN SODIUM (UNII 93X55PE38X),UNII 93X55PE38X,FDA UNII,fluorescein,K1:TPY09G7XIR
K1:TPY09G7XIR,Fluorescein,Fluorescein (UNII TPY09G7XIR),UNII TPY09G7XIR,FDA UNII,fluorescein,K1:93X55PE38X
K1:JS86977WNV,Fluticasone furoate,Fluticasone furoate (Cytochrome P450 2C8),Cytochrome P450 2C8,Inxight primary target,fluticasone,K1:O2GMZ0LF5W
K1:O2GMZ0LF5W,Fluticasone Propionate,Fluticasone Propionate (Progesterone receptor),Progesterone receptor,Inxight primary target,fluticasone,K1:JS86977WNV
K1:M7522JYX1H,Fosfructose,Fosfructose (structure XPYBSIWDXQFNMH),structure XPYBSIWDXQFNMH,InChIKey skeleton,fosfructose,K2:RNBGYGVWRKECFJ-VRPWFDPXSA-N
K2:RNBGYGVWRKECFJ-VRPWFDPXSA-N,Fosfructose,Fosfructose (structure RNBGYGVWRKECFJ),structure RNBGYGVWRKECFJ,InChIKey skeleton,fosfructose,K1:M7522JYX1H
K1:06O0TC0VSM,Fucoxanthin,Fucoxanthin (C42H58O6),C42H58O6,molecular formula,fucoxanthin,K2:MNUMHDZZMWCBBX-JWAQYZNWSA-N
K2:MNUMHDZZMWCBBX-JWAQYZNWSA-N,FUCOXANTHIN,FUCOXANTHIN (C40H56O6),C40H56O6,molecular formula,fucoxanthin,K1:06O0TC0VSM
K1:E65RW73PHS,Gadofosveset,Gadofosveset (C33H41GdN3O14P),C33H41GdN3O14P,molecular formula,gadofosveset,K1:XM33Q67UVH
K1:XM33Q67UVH,GADOFOSVESET TRISODIUM,GADOFOSVESET TRISODIUM (C33H40GdN3Na3O15P),C33H40GdN3Na3O15P,molecular formula,gadofosveset,K1:E65RW73PHS
K1:5480D0NHLJ,Gadolinium Oxide,Gadolinium Oxide (Gd2O3),Gd2O3,molecular formula,gadolinium,K1:AU0V1LM3JT
K1:AU0V1LM3JT,Gadolinium,Gadolinium (Gd),Gd,molecular formula,gadolinium,K1:5480D0NHLJ
K1:X2RN3Q8DNE,GALACTOSE,GALACTOSE (structure GZCGUPFRVQAUEE),structure GZCGUPFRVQAUEE,InChIKey skeleton,galactose,K2:WQZGKKKJIJFFOK-SVZMEOIVSA-N
K2:WQZGKKKJIJFFOK-SVZMEOIVSA-N,D-GALACTOSE,D-GALACTOSE (structure WQZGKKKJIJFFOK),structure WQZGKKKJIJFFOK,InChIKey skeleton,galactose,K1:X2RN3Q8DNE
K1:39WPC8JHR8,Gallopamil,Gallopamil (C28H40N2O5),C28H40N2O5,molecular formula,gallopamil,K2:IERWCEALNGTKIK-UHFFFAOYSA-N
K2:IERWCEALNGTKIK-UHFFFAOYSA-N,Gallopamil,Gallopamil (C26H36N2O3),C26H36N2O3,molecular formula,gallopamil,K1:39WPC8JHR8
K1:3KX376GY7L,Glutamic acid,Glutamic acid (C5H9NO4),C5H9NO4,molecular formula,glutamic acid,K1:M0C2SP444T
K1:M0C2SP444T,GLUTAMIC ACID HYDROCHLORIDE,GLUTAMIC ACID HYDROCHLORIDE (C5H10ClNO4),C5H10ClNO4,molecular formula,glutamic acid,K1:3KX376GY7L
K1:1NA86SF2H2,Glyceryl 1-ACETATE,Glyceryl 1-ACETATE (Aquaporin-7),Aquaporin-7,Inxight primary target,glyceryl 1,K1:258491E1RZ;K1:370V52HE4B;K1:9NTI6P3O4X;K1:D3AEF6S35P;K1:WR963Y5QYW
K1:258491E1RZ,Glyceryl 1-STEARATE,Glyceryl 1-STEARATE (Cyclooxygenase-2),Cyclooxygenase-2,Inxight primary target,glyceryl 1,K1:1NA86SF2H2;K1:370V52HE4B;K1:9NTI6P3O4X;K1:D3AEF6S35P;K1:WR963Y5QYW
