key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with,applies_to
K1:73R90F7MQ8,PREGNENOLONE,PREGNENOLONE (Cannabinoid CB1 receptor),Cannabinoid CB1 receptor,Inxight primary target,pregnenolone,K1:6LN4W6JJK6,page-title
K1:7726AXS0WH,Cadmium Bromide,Cadmium Bromide (Br2Cd),Br2Cd,molecular formula,cadmium,K1:00BH33GNGH;K1:J6K4F9V3BA;K1:M0975E7Z8Z,page-title
K1:77K6Z421KU,Sorbitan palmitate,Sorbitan palmitate (SORBITAN MONOPALMITATE),SORBITAN MONOPALMITATE,FDA substance register name,sorbitan,K1:06XEA2VD56;K1:6W9PS8B71J,page-title
K1:781E2AXH0K,FERROUS GLUCONATE ANHYDROUS,FERROUS GLUCONATE ANHYDROUS (C12H22FeO14),C12H22FeO14,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:78K2L26L8N,Cetyl Oleate,Cetyl Oleate (C34H66O2),C34H66O2,molecular formula,cetyl,K1:5ZA2S6B08X;K1:I19DN3Q5ZP,page-title
K1:7G09WJ8QIR,Manganese Gluconate Anhydrous,Manganese Gluconate Anhydrous (C12H22MnO14),C12H22MnO14,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:9ZV57512ZM;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26,page-title
K1:7H73A68FUV,Cobaltous Carbonate,Cobaltous Carbonate (CCoO3),CCoO3,molecular formula,cobaltous,K1:0B5M38T47H;K1:26SK597UWV;K1:2H2166872F;K1:7M7RX75BAL;K1:H7965X29HX;K1:RTJ1W9DF34,page-title
K1:7M7RX75BAL,Cobaltous Bromide,Cobaltous Bromide (Br2Co),Br2Co,molecular formula,cobaltous,K1:0B5M38T47H;K1:26SK597UWV;K1:2H2166872F;K1:7H73A68FUV;K1:H7965X29HX;K1:RTJ1W9DF34,page-title
K1:7OV03QG267,Nickel,Nickel (Ni),Ni,molecular formula,nickel,K1:41SGH8A2S6;K1:4FLT4T3WUN;K1:696BNE976J;K1:69NBB20493;K1:JC9WZ4FK68,page-title
K1:7QWA1RIO01,Alpha-Tocopherol,Alpha-Tocopherol (UNII 7QWA1RIO01),UNII 7QWA1RIO01,FDA UNII,alpha tocopherol,K1:A7E6112E4N;K1:LU4B53JYVE;K1:N9PR3490H9;K1:WR1WPI7EW8,page-title
K1:7S5I7G3JQL,Dexamethasone,Dexamethasone (C22H29FO5),C22H29FO5,molecular formula,dexamethasone,K1:2BP70L44PR;K1:K7V8P532WP,page-title
K1:7THJ3EG9SY,Choline Hydroxide,Choline Hydroxide (C5H15NO2),C5H15NO2,molecular formula,choline,K1:45I14D8O27;K1:KD510K1IQW;K1:N91BDP6H0X;K2:QWJSAWXRUVVRLH-UHFFFAOYSA-M,page-title
K1:7UP781YBR6,Salcolex Anhydrous,Salcolex Anhydrous (C24H38MgN2O12S),C24H38MgN2O12S,molecular formula,salcolex,K1:TW371I5GLO,page-title
K1:818ZYK7N91,FERROUS SUCCINATE,FERROUS SUCCINATE (C4H4FeO4),C4H4FeO4,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:81M6Z3D1XE,Silver Iodide,Silver Iodide (AgI),AgI,molecular formula,silver,K1:95IT3W8JZE;K1:ZL6T4Y1XP8,page-title
K1:85061HTR8T,Clocortolone Acetate,Clocortolone Acetate (C24H30ClFO5),C24H30ClFO5,molecular formula,clocortolone,K1:QBL8IZH14X,page-title
K1:8631NP8608,BIVALIRUDIN TRIFLUOROACETATE,BIVALIRUDIN TRIFLUOROACETATE (UNII 8631NP8608),UNII 8631NP8608,FDA UNII,bivalirudin,K1:TN9BEX005G,page-title
K1:86Q357L16B,Zinc Chloride,Zinc Chloride (UNII 86Q357L16B),UNII 86Q357L16B,FDA UNII,zinc,K1:0J6Z13X3WO;K1:89DS0H96TB;K1:J41CSQ7QDS;K1:N57JI2K7WP;K1:SOI2LOH54Z,page-title
K1:89DS0H96TB,Zinc Sulfate,Zinc Sulfate (UNII 89DS0H96TB),UNII 89DS0H96TB,FDA UNII,zinc,K1:0J6Z13X3WO;K1:86Q357L16B;K1:J41CSQ7QDS;K1:N57JI2K7WP;K1:SOI2LOH54Z,page-title
K1:8B2ZCK305O,MORPHOLINE,MORPHOLINE (C4H9NO),C4H9NO,molecular formula,morpholine,K2:BMOINOKSLLYQQE-UHFFFAOYSA-N,page-title
K1:8BR2SOL3L1,RADIUM RA-223,RADIUM RA-223 (Ra),Ra,molecular formula,radium ra 223,K1:RJ00KV3VTG,page-title
K1:8M4L3H2ZVZ,SODIUM NITRATE,SODIUM NITRATE (NNaO3),NNaO3,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8MDF5V39QO;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP,page-title
K1:8MDF5V39QO,Sodium Bicarbonate,Sodium Bicarbonate (CHNaO3),CHNaO3,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:F5WR8N145C;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP,page-title
K1:8Z96QXD6UM,TRIETHYL CITRATE,TRIETHYL CITRATE (C12H20O7),C12H20O7,molecular formula,triethyl,K1:QIH4K96K7J,page-title
K1:9100L32L2N,Metformin,Metformin (C4H11N5),C4H11N5,molecular formula,metformin,K1:YEI21W005Y,page-title
K1:91N8739X2N,Samarium Oxide,Samarium Oxide (O3Sm2),O3Sm2,molecular formula,samarium,K1:42OD65L39F,page-title
K1:926F8X7TNO,AG-24322,AG-24322 (structure MEKASOQEXYKAKM),structure MEKASOQEXYKAKM,InChIKey skeleton,ag 24322,K2:RBOKLZGCVRXGEP-XTQSDGFTSA-N,page-title
K1:93X55PE38X,FLUORESCEIN SODIUM,FLUORESCEIN SODIUM (UNII 93X55PE38X),UNII 93X55PE38X,FDA UNII,fluorescein,K1:TPY09G7XIR,page-title
K1:94255I6E2T,"Sodium PHOSPHATE, DIBASIC, Dihydrate","Sodium PHOSPHATE, DIBASIC, Dihydrate (H5Na2O6P)",H5Na2O6P,molecular formula,sodium phosphate dibasic,K1:22ADO53M6F,page-title
K1:94ZLA3W45F,Arginine,Arginine (C6H14N4O2),C6H14N4O2,molecular formula,arginine,K1:F7LTH1E20Y;K1:LZB1G2I725;K1:TU1X77K34Q,page-title
K1:95IT3W8JZE,Silver Nitrate,Silver Nitrate (AgNO3),AgNO3,molecular formula,silver,K1:81M6Z3D1XE;K1:ZL6T4Y1XP8,page-title
K1:97HLQ82NGL,Tedizolid,Tedizolid (C17H15FN6O3),C17H15FN6O3,molecular formula,tedizolid,K1:O7DRJ6R4DW,page-title
K1:9842X06Q6M,Betamethasone,Betamethasone (C22H29FO5),C22H29FO5,molecular formula,betamethasone,K1:YJO1F9W10R,page-title
K1:99S2PY5BN2,TREPROSTINIL PHOSPHATE,TREPROSTINIL PHOSPHATE (C23H36O11P2),C23H36O11P2,molecular formula,treprostinil,K1:RUM6K67ESG,page-title
K1:9CL6353KHO,Sovleplenib,Sovleplenib (structure NJIAKNWTIVDSDA),structure NJIAKNWTIVDSDA,InChIKey skeleton,sovleplenib,K2:BRCHZKBUGSKTND-FQEVSTJZSA-N,page-title
K1:9E01C36A9S,ETHYNODIOL,ETHYNODIOL (C20H28O2),C20H28O2,molecular formula,ethynodiol,K1:62H10A1236,page-title
K1:9JH486CZ13,MOLIDUSTAT,MOLIDUSTAT (UNII 9JH486CZ13),UNII 9JH486CZ13,FDA UNII,molidustat,K1:CI0NE7C96T,page-title
K1:9NTI6P3O4X,Glyceryl 1-PHOSPHATE,Glyceryl 1-PHOSPHATE (glycerol-3-phosphate dehydrogenase 1),glycerol-3-phosphate dehydrogenase 1,Inxight primary target,glyceryl 1,K1:1NA86SF2H2;K1:258491E1RZ;K1:370V52HE4B;K1:D3AEF6S35P;K1:WR963Y5QYW,page-title
K1:9PHQ9Y1OLM,Prednisolone,Prednisolone (C21H28O5),C21H28O5,molecular formula,prednisolone,K1:1V7A1U282K,page-title
K1:9RDO128EH7,Ferric Bromide,Ferric Bromide (Br3Fe),Br3Fe,molecular formula,ferric,K1:0I2XIN602U;K1:3HWS7HF5XD;K1:434C3EI07T;K1:63G354M39Z;K1:N6BAA189V1;K1:U38V3ZVV3V;K1:UVP74NG1C5;K1:W108RK810P,page-title
K1:9S44LIC7OJ,NORETHINDRONE ACETATE,NORETHINDRONE ACETATE (C22H28O3),C22H28O3,molecular formula,norethindrone,K1:HY3S2K0J0F,page-title
K1:9S4S6CIY83,Dextromoramide,Dextromoramide (structure INUNXTSAACVKJS),structure INUNXTSAACVKJS,InChIKey skeleton,dextromoramide,K2:XHKXWINHANRSNT-NRFANRHFSA-N,page-title
K1:9ZV57512ZM,Manganese Carbonate,Manganese Carbonate (CMnO3),CMnO3,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:I389H78514;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26,page-title
K1:A1Y870209Z,"Magnesium Phosphate, Dibasic","Magnesium Phosphate, Dibasic (HMgO4P)",HMgO4P,molecular formula,magnesium phosphate dibasic,K1:HF539G9L3Q,page-title
K1:A6I4E79QF1,Bismuth Oxide,Bismuth Oxide (Bi2O3),Bi2O3,molecular formula,bismuth,K1:U015TT5I8H,page-title
K1:A73MM2Q32P,TRIAMCINOLONE DIACETATE,TRIAMCINOLONE DIACETATE (C25H31FO8),C25H31FO8,molecular formula,triamcinolone,K1:1ZK20VI6TY,page-title
K1:A7E6112E4N,".ALPHA.-TOCOPHEROL ACETATE, D-",".ALPHA.-TOCOPHEROL ACETATE, D- (UNII A7E6112E4N)",UNII A7E6112E4N,FDA UNII,alpha tocopherol,K1:7QWA1RIO01;K1:LU4B53JYVE;K1:N9PR3490H9;K1:WR1WPI7EW8,page-title
K1:AJS8S3P31H,Satavaptan,Satavaptan (C33H45N3O8S),C33H45N3O8S,molecular formula,satavaptan,K2:CDSBFDCCJJDFCV-CKZSCMLPSA-N,page-title
K1:AQ86ZJ9U98,Chromic Phosphate,Chromic Phosphate (CrO4P),CrO4P,molecular formula,chromic,K1:WZB719DDER;K1:Y0C99N5TMZ,page-title
K1:AU0V1LM3JT,Gadolinium,Gadolinium (Gd),Gd,molecular formula,gadolinium,K1:5480D0NHLJ,page-title
K1:AYT3H319PN,Neodymium Oxide,Neodymium Oxide (Nd2O3),Nd2O3,molecular formula,neodymium,K1:2I87U3734A,page-title
K1:B3FUD0528F,Rebaudioside A,Rebaudioside A (structure HELXLJCILKEWJH),structure HELXLJCILKEWJH,InChIKey skeleton,rebaudioside a,K2:GIPHUOWOTCAJSR-NCGAPWICSA-N,page-title
K1:BK26WI342Q,Titanium Dichloride,Titanium Dichloride (Cl2Ti),Cl2Ti,molecular formula,titanium,K1:D1JT611TNE,page-title
K1:BO9LE4QFZF,Stavudine,Stavudine (C10H12N2O4),C10H12N2O4,molecular formula,stavudine,K1:Q77PE87U4K,page-title
K1:BY8P107XEP,Nadide Phosphate,Nadide Phosphate (C21H28N7O17P3),C21H28N7O17P3,molecular formula,nadide,K1:0U46U6E8UK,page-title
K1:C1GQ844199,Salvianolic Acid B,Salvianolic Acid B (C36H30O16),C36H30O16,molecular formula,salvianolic acid b,K2:YLSNESYAOIRZEA-AVPWDRFWSA-N,page-title
K1:C6V6S92N3C,Zirconium,Zirconium (Zr),Zr,molecular formula,zirconium,K1:1XHF39056H;K1:S38N85C5G0;K1:Z88176T871,page-title
K1:C857R7G2U6,SODIUM PENTABORATE PENTAHYDRATE,SODIUM PENTABORATE PENTAHYDRATE (H14B5NaO15),H14B5NaO15,molecular formula,sodium pentaborate,K1:XQG9Q75WDN,page-title
K1:CI0NE7C96T,MOLIDUSTAT SODIUM,MOLIDUSTAT SODIUM (UNII CI0NE7C96T),UNII CI0NE7C96T,FDA UNII,molidustat,K1:9JH486CZ13,page-title
K1:D07L04MRWI,Ferrous Phosphate,Ferrous Phosphate (Fe3O8P2),Fe3O8P2,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:DI3477D0PI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:D1JT611TNE,Titanium,Titanium (Ti),Ti,molecular formula,titanium,K1:BK26WI342Q,page-title
K1:D20D148WPQ,Dienestrol Diacetate,Dienestrol Diacetate (C22H22O4),C22H22O4,molecular formula,dienestrol,K1:RRW32X4U1F,page-title
K1:D3AEF6S35P,Glyceryl 1-OLEATE,Glyceryl 1-OLEATE (Phospholipase A2 group IIA),Phospholipase A2 group IIA,Inxight primary target,glyceryl 1,K1:1NA86SF2H2;K1:258491E1RZ;K1:370V52HE4B;K1:9NTI6P3O4X;K1:WR963Y5QYW,page-title
K1:D60QT594ZJ,Yttrium Bromide,Yttrium Bromide (Br3Y),Br3Y,molecular formula,yttrium,K1:V8QS7WES60;K1:X8071685XT,page-title
K1:DE79L822UY,XERUBORBACTAM,XERUBORBACTAM (C10H8BFO4),C10H8BFO4,molecular formula,xeruborbactam,K1:YE20AG583K,page-title
K1:DI3477D0PI,FERROUS ASCORBATE,FERROUS ASCORBATE (C12H14FeO12),C12H14FeO12,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:F5452U54PN;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:E2OU15WN0N,Uridine Monophosphate,Uridine Monophosphate (C9H13N2O9P),C9H13N2O9P,molecular formula,uridine,K1:2WP61F175M;K1:WHI7HQ7H85,page-title
K1:E65RW73PHS,Gadofosveset,Gadofosveset (C33H41GdN3O14P),C33H41GdN3O14P,molecular formula,gadofosveset,K1:XM33Q67UVH,page-title
K1:EFY8GJS81Z,Strontium Fluoride,Strontium Fluoride (F2Sr),F2Sr,molecular formula,strontium,K1:1NG558X5VJ;K1:64RA22280P;K1:EKE8PS9J6Z;K1:O09USB7Z44;K1:YZS2RPE8LE,page-title
K1:EH6D7113I8,Clindamycin Phosphate,Clindamycin Phosphate (C18H34ClN2O8PS),C18H34ClN2O8PS,molecular formula,clindamycin,K1:3U02EL437C,page-title
K1:EKE8PS9J6Z,STRONTIUM CHLORIDE,STRONTIUM CHLORIDE (Cl2Sr),Cl2Sr,molecular formula,strontium,K1:1NG558X5VJ;K1:64RA22280P;K1:EFY8GJS81Z;K1:O09USB7Z44;K1:YZS2RPE8LE,page-title
K1:EM5OCB9YJ6,Abiraterone Acetate,Abiraterone Acetate (C26H33NO2),C26H33NO2,molecular formula,abiraterone,K1:U6XMS339F5,page-title
K1:ET7948FWOY,Vanadyl Dichloride,Vanadyl Dichloride (H2Cl2OV+2),H2Cl2OV+2,molecular formula,vanadyl,K2:MHHDXUNFNAZUGB-UHFFFAOYSA-N,page-title
K1:F06SGE49M6,Pyridoxal Phosphate Anhydrous,Pyridoxal Phosphate Anhydrous (P2X purinoceptor 1),P2X purinoceptor 1,Inxight primary target,pyridoxal,K1:3THM379K8A,page-title
K1:F094Y61748,Valomaciclovir,Valomaciclovir (C15H24N6O4),C15H24N6O4,molecular formula,valomaciclovir,K1:506LI1B3A3,page-title
K1:F4216019LN,Albendazole,Albendazole (Tubulin),Tubulin,Inxight primary target,albendazole,K1:J39B52TV34,page-title
K1:F5452U54PN,Ferrous Iodide,Ferrous Iodide (FeI2),FeI2,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:MZ3Q72U52O;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:F5UM2KM3W7,Benzalkonium Chloride,Benzalkonium Chloride (UNII F5UM2KM3W7),UNII F5UM2KM3W7,FDA UNII,benzalkonium,K2:VVZBFOKBSDGVGZ-UHFFFAOYSA-N,page-title
K1:F5WR8N145C,Sodium Iodide,Sodium Iodide (INa),INa,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:LC1V549NOM;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP,page-title
K1:F7LTH1E20Y,ARGININE HYDROCHLORIDE,ARGININE HYDROCHLORIDE (C6H15ClN4O2),C6H15ClN4O2,molecular formula,arginine,K1:94ZLA3W45F;K1:LZB1G2I725;K1:TU1X77K34Q,page-title
K1:FC72KVT52F,Glycol,Glycol (C2H6O2),C2H6O2,molecular formula,glycol,K1:3I1VBB7AXH,page-title
K1:FLI06WS32H,Chloral,Chloral (C2HCl3O),C2HCl3O,molecular formula,chloral,K1:418M5916WG,page-title
K1:GFW2K84S4L,Apilimod,Apilimod (C23H26N6O2),C23H26N6O2,molecular formula,apilimod,K2:VIUWNARVSJPVFA-UHFFFAOYSA-N,page-title
K1:GNR9HML8BA,Cesium Chloride,Cesium Chloride (ClCs),ClCs,molecular formula,cesium,K1:1KSV9V4Y4I,page-title
K1:GRL65FEU3T,Menadiol Diphosphate,Menadiol Diphosphate (UNII GRL65FEU3T),UNII GRL65FEU3T,FDA UNII,menadiol,HOLD:existing:menadiol;K1:4TGB4HYC3M,page-title
K1:GZP2782OP0,Aceneuramic acid,Aceneuramic acid (structure KBGAYAKRZNYFFG),structure KBGAYAKRZNYFFG,InChIKey skeleton,aceneuramic acid,K2:SQVRNKJHWKZAKO-USOVHJGOSA-N,page-title
K1:H7965X29HX,Cobaltous Sulfate,Cobaltous Sulfate (CoO4S),CoO4S,molecular formula,cobaltous,K1:0B5M38T47H;K1:26SK597UWV;K1:2H2166872F;K1:7H73A68FUV;K1:7M7RX75BAL;K1:RTJ1W9DF34,page-title
K1:HF539G9L3Q,"Magnesium PHOSPHATE, Dibasic Trihydrate","Magnesium PHOSPHATE, Dibasic Trihydrate (H7MgO7P)",H7MgO7P,molecular formula,magnesium phosphate dibasic,K1:A1Y870209Z,page-title
K1:HT0935F2JR,Mercurous Iodide,Mercurous Iodide (Hg2I2),Hg2I2,molecular formula,mercurous,K1:JSJ4936A2S,page-title
K1:HY3S2K0J0F,Norethindrone Enanthate,Norethindrone Enanthate (C27H38O3),C27H38O3,molecular formula,norethindrone,K1:9S44LIC7OJ,page-title
K1:I19DN3Q5ZP,Cetyl Laurate,Cetyl Laurate (C28H56O2),C28H56O2,molecular formula,cetyl,K1:5ZA2S6B08X;K1:78K2L26L8N,page-title
K1:I389H78514,Manganese Nitrate,Manganese Nitrate (MnN2O6),MnN2O6,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:IGA15S9H40;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26,page-title
K1:I38ZP9992A,Magnesium,Magnesium (structure FYYHWMGAXLPEAU),structure FYYHWMGAXLPEAU,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:JQ69D454N1;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:I7T908772F,ALUMINUM SULFATE ANHYDROUS,ALUMINUM SULFATE ANHYDROUS (Al2O12S3),Al2O12S3,molecular formula,aluminum,K1:34S289N54E,page-title
K1:IGA15S9H40,MANGANESE SULFATE ANHYDROUS,MANGANESE SULFATE ANHYDROUS (MnO4S),MnO4S,molecular formula,manganese,K1:5Q9VVO3QCN;K1:6PH9331Y9Z;K1:6YB4901Y90;K1:7G09WJ8QIR;K1:9ZV57512ZM;K1:I389H78514;K1:QQE170PANO;K1:U70U4T7N6S;K1:W00LYS4T26,page-title
K1:IY191986AO,Mercuric Oxide,Mercuric Oxide (HgO),HgO,molecular formula,mercuric,K1:53GH7MZT1R;K1:R03O05RB0P,page-title
K1:J39B52TV34,Albendazole oxide,Albendazole oxide (microtubule polymerization),microtubule polymerization,Inxight primary target,albendazole,K1:F4216019LN,page-title
K1:J41CSQ7QDS,Zinc,Zinc (UNII J41CSQ7QDS),UNII J41CSQ7QDS,FDA UNII,zinc,K1:0J6Z13X3WO;K1:86Q357L16B;K1:89DS0H96TB;K1:N57JI2K7WP;K1:SOI2LOH54Z,page-title
K1:J6K4F9V3BA,Cadmium Chloride,Cadmium Chloride (CdCl2),CdCl2,molecular formula,cadmium,K1:00BH33GNGH;K1:7726AXS0WH;K1:M0975E7Z8Z,page-title
K1:JC9WZ4FK68,Nickel Sulfate Hexahydrate,Nickel Sulfate Hexahydrate (H12NiO10S),H12NiO10S,molecular formula,nickel,K1:41SGH8A2S6;K1:4FLT4T3WUN;K1:696BNE976J;K1:69NBB20493;K1:7OV03QG267,page-title
K1:JQ69D454N1,Magnesium Salicylate Anhydrous,Magnesium Salicylate Anhydrous (structure MQHWFIOJQSCFNM),structure MQHWFIOJQSCFNM,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:ML30MJ2U7I;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:JS86977WNV,Fluticasone furoate,Fluticasone furoate (Cytochrome P450 2C8),Cytochrome P450 2C8,Inxight primary target,fluticasone,K1:O2GMZ0LF5W,page-title
K1:JSJ4936A2S,Mercurous Bromide,Mercurous Bromide (Br2Hg2),Br2Hg2,molecular formula,mercurous,K1:HT0935F2JR,page-title
K1:K3Z4F929H6,Lysine,Lysine (C6H14N2O2),C6H14N2O2,molecular formula,lysine,K1:23227F83U0,page-title
K1:K72T3FS567,ADENOSINE,ADENOSINE (Adenosine receptor),Adenosine receptor,Inxight primary target,adenosine,K1:415SHH325A;K1:61D2G4IYVH,page-title
K1:K7V8P532WP,Dexamethasone Acetate Anhydrous,Dexamethasone Acetate Anhydrous (C24H31FO6),C24H31FO6,molecular formula,dexamethasone,K1:2BP70L44PR;K1:7S5I7G3JQL,page-title
K1:KD510K1IQW,Choline salicylate,Choline salicylate (C12H19NO4),C12H19NO4,molecular formula,choline,K1:45I14D8O27;K1:7THJ3EG9SY;K1:N91BDP6H0X;K2:QWJSAWXRUVVRLH-UHFFFAOYSA-M,page-title
K1:KKO873WR2Z,Radium Chloride,Radium Chloride (Cl2Ra),Cl2Ra,molecular formula,radium,K1:R74O7T8569;K1:W90AYD6R3Q,page-title
K1:KKV299446X,Daglutril,Daglutril (structure XMQODGUTLZXUGZ),structure XMQODGUTLZXUGZ,InChIKey skeleton,daglutril,K2:FVWPYVZWVOLAOP-DQEYMECFSA-N,page-title
K1:LC1V549NOM,Sodium Bromide,Sodium Bromide (BrNa),BrNa,molecular formula,sodium,K1:0YPR65R21J;K1:36KCS0R750;K1:45P3261C7T;K1:8M4L3H2ZVZ;K1:8MDF5V39QO;K1:F5WR8N145C;K1:NVG71ZZ7P0;K1:P2Y1C6M9PS;K1:WIQ1H85SYP,page-title
K1:LRX7AJ16DT,Cupric Sulfate,Cupric Sulfate (H10CuO9S),H10CuO9S,molecular formula,cupric,K1:0HP2H86BS6;K1:1KC430K0ZN;K1:N8NP6FR80R;K1:P484053J2Y;K1:S2QG84156O,page-title
K1:LU4B53JYVE,".ALPHA.-TOCOPHEROL SUCCINATE, D-",".ALPHA.-TOCOPHEROL SUCCINATE, D- (UNII LU4B53JYVE)",UNII LU4B53JYVE,FDA UNII,alpha tocopherol,K1:7QWA1RIO01;K1:A7E6112E4N;K1:N9PR3490H9;K1:WR1WPI7EW8,page-title
K1:LZB1G2I725,Arginine Aspartate,Arginine Aspartate (C10H21N5O6),C10H21N5O6,molecular formula,arginine,K1:94ZLA3W45F;K1:F7LTH1E20Y;K1:TU1X77K34Q,page-title
K1:M0975E7Z8Z,Cadmium Fluoride,Cadmium Fluoride (CdF2),CdF2,molecular formula,cadmium,K1:00BH33GNGH;K1:7726AXS0WH;K1:J6K4F9V3BA,page-title
K1:M0C2SP444T,GLUTAMIC ACID HYDROCHLORIDE,GLUTAMIC ACID HYDROCHLORIDE (C5H10ClNO4),C5H10ClNO4,molecular formula,glutamic acid,K1:3KX376GY7L,page-title
K1:M4I0D6VV5M,Calcium Chloride,Calcium Chloride (UNII M4I0D6VV5M),UNII M4I0D6VV5M,FDA UNII,calcium,K1:O3B55K4YKI;K1:OFM21057LP;K1:PF5DZW74VN;K1:SY7Q814VUP;K1:WAT0DDB505,page-title
K1:M7522JYX1H,Fosfructose,Fosfructose (structure XPYBSIWDXQFNMH),structure XPYBSIWDXQFNMH,InChIKey skeleton,fosfructose,K2:RNBGYGVWRKECFJ-VRPWFDPXSA-N,page-title
K1:ML30MJ2U7I,Magnesium Sulfate Anhydrous,Magnesium Sulfate Anhydrous (structure CSNNHWWHGAXBCP),structure CSNNHWWHGAXBCP,InChIKey skeleton,magnesium,K1:02F3473H9O;K1:3A3U0GI71G;K1:41728CY7UX;K1:4G1MLN2EKF;K1:59XN63C8VM;K1:5N014C7IWU;K1:I38ZP9992A;K1:JQ69D454N1;K1:NBZ3QY004S;K1:PE152PYI6M;K1:SK47B8698T;K2:CPLXHLVBOLITMK-UHFFFAOYSA-N,page-title
K1:MNQ4O4WSI1,Ytterbium,Ytterbium (Yb),Yb,molecular formula,ytterbium,K1:T66CZ53RP4,page-title
K1:MUZ9585Y7B,Estramustine Phosphate,Estramustine Phosphate (C23H32Cl2NO6P),C23H32Cl2NO6P,molecular formula,estramustine,K1:35LT29625A,page-title
K1:MZ3Q72U52O,Ferrous Carbonate,Ferrous Carbonate (CFeO3),CFeO3,molecular formula,ferrous,K1:129CO35H12;K1:33KM3X4QQW;K1:39R4TAN1VT;K1:781E2AXH0K;K1:818ZYK7N91;K1:D07L04MRWI;K1:DI3477D0PI;K1:F5452U54PN;K1:R5L488RY0Q;K1:U1B11I423Z;K1:Z56D82TX8V;K1:ZRW631PTZD,page-title
K1:MZQ4XE15TP,"PHYTOL, (E)-","PHYTOL, (E)- (C20H40O)",C20H40O,molecular formula,phytol,K2:VNYGDSNUPVEJKI-IWBCJCCCSA-N,page-title
K1:N02W67RKJS,Mangafodipir,Mangafodipir (C22H30MnN4O14P2),C22H30MnN4O14P2,molecular formula,mangafodipir,K1:129FW80TG4,page-title
