key,current_display_name,disambiguated_display_name,disambiguator,disambiguator_source,collides_on,collides_with,applies_to
K1:MVR3634GX1,Primaquine,Primaquine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,primaquine,K1:QAO8PF7Q30,relation-label
K1:N20HL7Q941,Camphor,Camphor (structure DSSYKIVIOFKYAU-XCBNKYQSSA-N),structure DSSYKIVIOFKYAU-XCBNKYQSSA-N,InChIKey,camphor,K1:213N3S8275;K2:DSSYKIVIOFKYAU-UHFFFAOYSA-N,relation-label
K1:N9K6X87HU9,ALPHA-TERPINEOL,ALPHA-TERPINEOL (structure WUOACPNHFRMFPN-SECBINFHSA-N),structure WUOACPNHFRMFPN-SECBINFHSA-N,InChIKey,alpha terpineol,K1:21334LVV8W;K1:21M14KDA67,relation-label
K1:NG99554ANW,Desvenlafaxine,Desvenlafaxine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,desvenlafaxine,K1:189BFR45S0,relation-label
K1:NWQ5N31VKK,Daptomycin,Daptomycin (ChEMBL CHEMBL4744444),ChEMBL CHEMBL4744444,ChEMBL molecule identifier,daptomycin,K2:DOAKLVKFURWEDJ-RWDRXURGSA-N,relation-label
K1:O1Q96UZ63W,Derenofylline,Derenofylline (with recorded stereochemistry),with recorded stereochemistry,recorded stereochemistry,derenofylline,K2:RBZNJGHIKXAKQE-UHFFFAOYSA-N,relation-label
K1:P341G6W9NB,Deutetrabenazine,Deutetrabenazine (structure MKJIEFSOBYUXJB-WEZHFFAMSA-N),structure MKJIEFSOBYUXJB-WEZHFFAMSA-N,InChIKey,deutetrabenazine,K2:MKJIEFSOBYUXJB-LIJFRPJRSA-N,relation-label
K1:P94O9O6QM5,(-)-HIGENAMINE,(-)-HIGENAMINE (ChEMBL CHEMBL470491),ChEMBL CHEMBL470491,ChEMBL molecule identifier,higenamine,K1:6016M93W29;K1:TBV5O16GAP,relation-label
K1:PKO39VY215,Asiaticoside,Asiaticoside (ChEMBL CHEMBL1684590),ChEMBL CHEMBL1684590,ChEMBL molecule identifier,asiaticoside,K2:WYQVAPGDARQUBT-JVGKFWCXSA-N,relation-label
K1:PX44XO846X,HYOSCYAMINE,HYOSCYAMINE (UNII F2R8V82B84),UNII F2R8V82B84,FDA UNII,hyoscyamine,K1:V3203SI72M,relation-label
K1:Q08SIO485D,Phenprocoumon,Phenprocoumon (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,phenprocoumon,K1:Y513Q74WCG,relation-label
K1:Q13WX941EF,Epinastine,Epinastine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,epinastine,K1:5HDI847257,relation-label
K1:Q2OS4303HZ,Halofantrine,Halofantrine (recorded without stereochemistry),recorded without stereochemistry,recorded stereochemistry,halofantrine,K1:4646B297U7,relation-label
K1:Q2VYF0562D,Sulbenicillin,Sulbenicillin (ChEMBL CHEMBL3306853),ChEMBL CHEMBL3306853,ChEMBL molecule identifier,sulbenicillin,K2:JETQIUPBHQNHNZ-OAYJICASSA-N,relation-label
