nct,from_key,to_key,matched_name,action,rule,reason
NCT02084368,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02085902,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02091297,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02094339,K1:0494L275Q6,K1:7IO5LYA57N,ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02114463,K1:0494L275Q6,K1:7IO5LYA57N,ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02125903,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02130739,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02139982,K1:0494L275Q6,K1:7IO5LYA57N,ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02144766,K1:0494L275Q6,K1:7IO5LYA57N,ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02151487,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02154048,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02154763,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02161705,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02171299,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02178449,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02181296,K1:0494L275Q6,K1:7IO5LYA57N,ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02182752,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02184559,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02197273,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02198547,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02201784,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02208245,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02225054,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02225418,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02256228,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02267044,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02278601,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02279628,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02289937,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
NCT02293525,K1:0494L275Q6,K1:7IO5LYA57N,Ropivacaine,move,R14-PARENT-NAME-TRIAL,"the registry intervention names Ropivacaine, not ROPIVACAINE, (R)-; the trial belongs to the parent page"
