key,slug,tier,display_name,indexable
K1:ULD9ZKE457,palosuran,3,Palosuran,f
K1:ULJ82834RE,tiazofurine,3,Tiazofurine,f
K1:ULL76WPU5X,pentolinium,1,Pentolinium,f
K1:ULM5THL8W5,cv-8102,3,CV-8102,f
K1:ULS0NT2D68,necuparanib,3,Necuparanib,f
K1:ULS5I8J03O,olsalazine,1,Olsalazine,f
K1:ULW86O013H,glutathione-disulfide,1,Oxiglutatione,t
K1:UM18UZV2YD,2-chloro-5-nitro-n-phenylbenzamide,3,2-CHLORO-5-NITRO-N-PHENYLBENZAMIDE,f
K1:UM20QQM95Y,ifosfamide,2,Ifosfamide,f
K1:UM2XKY25DH,norelgestromin,2,"NORELGESTROMIN, (E)-",f
K1:UM3821998K,bradanicline,3,Bradanicline,f
K1:UM47085BXC,trigonellamide,3,TRIGONELLAMIDE,f
K1:UM4TJY3PCY,lml-134,3,LML-134,f
K1:UM4VY7ZEC9,nanrilkefusp-alfa,3,Nanrilkefusp alfa,f
K1:UMA0K9OMKD,desferrithiocin,3,DESFERRITHIOCIN,f
K1:UMD07X179E,certolizumab-pegol,1,Certolizumab pegol,t
K1:UMD7G2653W,ibandronate,2,Ibandronic acid,f
K1:UMF554N5FG,tacedinaline,3,Tacedinaline,f
K1:UMH46V5U01,dexamisole,3,Dexamisole,f
K1:UMT8MP2NDU,mesocarb,3,Mesocarb,f
K1:UN1Q7096GA,octotiamine,3,Octotiamine,f
K1:UN2QZ55I88,abelmoschus-moschatus-seed,2,Abelmoschus Moschatus Seed,f
K1:UN4AL4B3RP,paclitaxel-obaluronate,3,Paclitaxel obaluronate,f
K1:UNM4C1735Z,drimia-maritima-whole,3,Drimia Maritima Whole,f
K1:UNY2TQA40E,brontictuzumab,3,Brontictuzumab,f
K1:UO003HH66V,dietifen,3,Dietifen,f
K1:UO1VQB3SPZ,coumetarol,3,Coumetarol,f
K1:UO2PIV2K4C,alpha-l-arabinopyranose,3,.ALPHA.-L-ARABINOPYRANOSE,f
K1:UO870O6MFS,pegozafermin,3,Pegozafermin,f
K1:UO9989Y17N,stachys-officinalis,3,Stachys Officinalis,f
K1:UOI4FT57BZ,broccoli,3,Broccoli,f
K1:UOM2HMO524,premafloxacin,3,Premafloxacin,f
K1:UOV773I89T,artemisia-abrotanum-whole,2,Artemisia Abrotanum Whole,f
K1:UOW2C71PG5,inclisiran,1,Inclisiran,t
K1:UP0K5026VB,cfg-920,3,CFG-920,f
K1:UP0M8M3VZW,east-indian-lemongrass-oil,3,East Indian Lemongrass Oil,f
K1:UP2R15WBF4,cgs-25462,3,CGS-25462,f
K1:UP39BHE708,shogaol,3,(10)-SHOGAOL,f
K1:UP67646C7V,2-phosphonooxy-benzaldehyde,3,2-(PHOSPHONOOXY)BENZALDEHYDE,f
K1:UP75WH4QKM,glecirasib,3,Glecirasib,f
K1:UP7QBP99PN,apremilast,2,Apremilast,f
K1:UP8J9CA76I,ruzinurad,3,Ruzinurad,f
K1:UP8LI85VPR,nickel-arsenide,2,Nickel Arsenide,f
K1:UP9K666A04,camidanlumab,3,Camidanlumab,f
K1:UPB5G360MA,cx1739,3,CX1739,f
K1:UPF5CJ93X7,melanotan-ii,1,Melanotan II,f
K1:UPN4ITI8T4,trimetrexate-glucuronate,2,Trimetrexate,f
K1:UPY9RD84AG,fenocinol,3,Fenocinol,f
K1:UQ0Z34X16U,quercus-rubra-whole,2,Quercus Rubra Whole,f
K1:UQ24WBY4QP,sichuan-fritillary,3,Fritillaria Unibracteata Bulb,f
K1:UQ470VV48X,1-methyl-2-quinolone,3,1-METHYL-2-QUINOLONE,f
K1:UQ6CV583Q3,fluciclatide,3,FLUCICLATIDE,f
K1:UQ7Z2EA3ZI,salix-x-fragilis-pollen,3,Salix X Fragilis Pollen,f
K1:UQC681JJIV,bms-275183,3,BMS-275183,f
K1:UQG78PXR4W,ketocainol,3,Ketocainol,f
K1:UQJ679MZAK,rumex-crispus-whole,3,Rumex Crispus Whole,f
K1:UQT9G45D1P,halothane,2,Halothane,f
K1:UR18YJ97SJ,ly-2811376,3,LY-2811376,f
K1:UR1SAB295F,sulfamerazine,1,Sulfamerazine,f
K1:UR46CWR8UW,izenivetmab,2,Izenivetmab,f
K1:UR4924C6G2,imoxiterol,3,Imoxiterol,f
K1:UR9VPI71PT,fudosteine,3,Fudosteine,f
K1:URQ2517572,alfacalcidol,1,Alfacalcidol,f
K1:URR853YLZA,iproxamine,3,Iproxamine,f
K1:URS0374MIV,ripertamab,3,Ripertamab,f
K1:URX2UMQ8XV,conteltinib,1,CONTELTINIB,f
K1:URX5F7RDER,eprobemide,3,Eprobemide,f
K1:US65H9WBNH,tipindole,3,Tipindole,f
K1:USE67B01YN,gliflumide,3,Gliflumide,f
K1:USO2D5J77R,rimtuzalcap,3,Rimtuzalcap,f
K1:USR5C76RCA,vensemaglutide,3,Vensemaglutide,f
K1:UST4Z70290,trimelamol,3,TRIMELAMOL,f
K1:USZ5MY269R,beclobrate,1,Beclobrate,f
K1:UT0S826Z60,uridine-triphosphate,3,URIDINE TRIPHOSPHATE,f
K1:UT2BA2O3KN,imciromab,1,Imciromab,f
K1:UT59FF4T5X,dacetuzumab,3,Dacetuzumab,f
K1:UT99UG9QJX,eflapegrastim,2,Eflapegrastim,f
K1:UT99UG9QJX#xnst,eflapegrastim-xnst,2,Eflapegrastim-Xnst,f
K1:UTC046R5HM,traxoprodil,3,Traxoprodil,f
K1:UTI65JH23L,galegenimab,3,Galegenimab,f
K1:UTX536WN6N,proteus-inconstans,3,Proteus Inconstans,f
K1:UU226QGU97,imeglimin,3,Imeglimin,f
K1:UU4P8NE7UR,vsv-gp128,3,VSV-GP128,f
K1:UU4X6T9FT5,flubepride,3,Flubepride,f
K1:UU55190C8S,arq-621,3,ARQ-621,f
K1:UU78E56M7L,artemisia-dracunculus-pollen,3,Artemisia Dracunculus Pollen,f
K1:UU81N77RI7,commiphora-myrrha-whole,3,Commiphora Myrrha Whole,f
K1:UV63W89SJM,calcium,2,(ACETATO-O)(DODECANOATO-O)CALCIUM,f
K1:UVG3B5TZN3,farletuzumab-ecteribulin,3,Farletuzumab ecteribulin,f
K1:UVG8VSP2SJ,flumequine,3,Flumequine,f
K1:UVI40IC2GN,11c-carfentanil,3,[11C]-CARFENTANIL,f
K1:UVJ7NL8S2P,imlifidase,2,Imlifidase,f
K1:UVL329170W,cisapride-2,2,Cisapride,f
K1:UVP74NG1C5,ferric-ammonium-citrate,1,FERRIC AMMONIUM CITRATE,f
