old_slug,target_drug_id,reason
melilotus-indicus-seed,melilotus,MERGED
melissa-officinalis-whole,melissa-officinalis,MERGED
menotropins,follitropin,MERGED
menyanthes-trifoliata-whole,menyanthes-trifoliata,MERGED
mercurialis-perennis,mercurialis-perennis-whole,MERGED
mercuric-cyanide,sodium-nitroprusside,MERGED
metformin-hydrochloride-sitagliptin,sitagliptin-metformin,MERGED
methylepitiostanol,epistane,MERGED
metrizoate,calcium-metrizoate,MERGED
metrizoic-acid,calcium-metrizoate,MERGED
milk-basic-protein,whey-protein,MERGED
mineral,mineral-oil,MERGED
molybdenum-ascorbate,sodium-ascorbate,MERGED
momordica-charantia-fruit,bitter-melon,MERGED
moranoline,1-deoxynojirimycin,MERGED
msm,methylsulfonylmethane,MERGED
mucuna-pruriens-seed,cowhage,MERGED
mushroom,cultivated-mushroom,MERGED
mycophenolate,mycophenolic-acid,MERGED
myosotis-arvensis-whole,myosotis-arvensis,MERGED
myrica-cerifera-pollen,morella-cerifera-pollen,MERGED
myrica-cerifera-root-bark,morella-cerifera-root-bark,MERGED
n-acetyl-cysteine,acetylcysteine,MERGED
n-acetyl-leucine,levacetylleucine,MERGED
n-acetyl-tyrosine,acetyl-l-tyrosine,MERGED
nadide,nicotinamide-adenine-dinucleotide,MERGED
naphazoline,naphazoline-hcl,MERGED
nicotine-polacrilex,nicotine,MERGED
nigella-seed,nigella-sativa-seed,MERGED
nilotinib-d-tartrate,nilotinib,MERGED
nintedanib-esylate,nintedanib,MERGED
nitric-acid,nitrate,MERGED
nitrofurantoin-macrocrystalline,nitrofurantoin,MERGED
nitrogen-nf,nitrogen,MERGED
norgestrel,levonorgestrel,MERGED
n-phenylacetyl-l-prolylglycine-ethyl-ester,noopept,MERGED
nuphar-luteum-root,nuphar-lutea-root,MERGED
oat,oats,MERGED
oil-palm,palm-oil,MERGED
olea-europaea-leaf-powder,olea-europaea-leaf,MERGED
olibanum,frankincense,MERGED
olive,green-olive,MERGED
omega-3acid-ethyl-esters,omega-3-acid-ethyl-esters,MERGED
omega-3-epa-dha,docosahexaenoic-acid,MERGED
onabotulinumtoxina,botulinum-toxin-type-a,MERGED
ononis-campestris,ononis-spinosa-whole,MERGED
onosmodium-virginianum-whole,onosmodium-virginianum,MERGED
orchic,bos-taurus-testicle,MERGED
orchid,dehydrated-alcohol,MERGED
ornithine,l-ornithine-l-aspartate,MERGED
ornithine-ketoglutarate,ornithine-alpha-ketoglutarate,MERGED
ornithine-oxoglurate,ornithine-alpha-ketoglutarate,MERGED
ornithogalum-umbellatum,ornithogalum-umbellatum-whole,MERGED
orris,iris-germanica-var-florentina-root,MERGED
ospemifene,toremifene,MERGED
